abbreviation	officialName	equation	geneAssociation	proteinClass	ecocyc-rxn-ids	analysis	notes
PItex	phosphate transport via diffusion (extracellular to periplasm)	pi[e] <==> pi[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
PNTOtex	Pantothenate transport via diffusion (extracellular to periplasm)	pnto-R[e] <==> pnto-R[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
PPALtex	propanal transport via diffusion (extracellular to periplasm)	ppal[e] <==> ppal[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
PPAtex	propionate transport via diffusion	ppa[e] <==> ppa[p]	( b1377  or  b0929  or  b2215  or  b0241 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
PPPNtex	3-phenylpropionate transport via diffusion (extracellular to periplasm)	pppn[e] <==> pppn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
PPTtex	Phosphonate transport via diffusion (extracellular to periplasm)	ppt[e] <==> ppt[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
PROtex	L-proline transport via diffusion (extracellular to periplasm)	pro-L[e] <==> pro-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
PSCLYStex	psicoselysine transporter via diffusion (extracellular)	psclys[e] <==> psclys[p]	( b0929  or  b2215  or  b1377  or  b0241 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
PSERtex	phospho-L-serine transport via diffusion (extracellular to periplasm)	pser-L[e] <==> pser-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
PTRCtex	putrescine transport via diffusion (extracellular to periplasm)	ptrc[e] <==> ptrc[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
PYRtex	pyruvate transport via diffusion (extracellular to periplasm)	pyr[e] <==> pyr[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
R5Ptex	Ribose 5-phosphate transport via diffusion (extracellular to periplasm)	r5p[e] <==> r5p[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
SBTtex	D-sorbitol transport via diffusion (extracellular to periplasm)	sbt-D[e] <==> sbt-D[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
SERtex	L-serine transport via diffusion (extracellular to periplasm)	ser-L[e] <==> ser-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
SKMtex	shikimate transport via diffusion (extracellular to periplasm)	skm[e] <==> skm[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
SO2tex	SO2 transport via diffusion (extracellular to periplasm)	so2[e] <==> so2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
SO2tpp	SO2 transport via diffusion (periplasm)	so2[p] <==> so2[c]	s0001			(:DIFFUSION)	(:INNER-MEMBRANE-DIFFUSION)
SO3tex	sulfite transport via diffusion (extracellular to periplasm)	so3[e] <==> so3[p]	( b1377  or  b2215  or  b0241  or  b0929 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
SO4tex	sulfate transport via diffusion (extracellular to periplasm)	so4[e] <==> so4[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
SPMDtex	spermidine transport via diffusion (extracellular to periplasm)	spmd[e] <==> spmd[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
SUCCtex	succinate transport via diffusion (extracellular to periplasm)	succ[e] <==> succ[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
SULFACtex	sulfoaceate transport via diffusion (extracellular to periplasm)	sulfac[e] <==> sulfac[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
TARTRtex	Tartrate transport via diffusion (extracellular to periplasm)	tartr-L[e] <==> tartr-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
TAURtex	taurine transport via diffusion (extracellular to periplasm)	taur[e] <==> taur[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
TCYNTtex	Thiocyanate transport via diffusion (extracellular to periplasm)	tcynt[e] <==> tcynt[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
THMDtex	thymidine transport via diffusion (extracellular to periplasm)	thymd[e] <==> thymd[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
THMtex	Thiamine transport via diffusion (extracellular to periplasm)	thm[e] <==> thm[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
THRPtex	phospho-L-threonine transport via diffusion (extracellular to periplasm)	thrp[e] <==> thrp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
THRtex	L-threonine transport via diffusion (extracellular to periplasm)	thr-L[e] <==> thr-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
THYMtex	thymine transport via diffusion (extracellular to periplasm)	thym[e] <==> thym[p]	( b1377  or  b2215  or  b0241  or  b0929 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
TMAOtex	Trimethylamine N-oxide transport via diffusion (extracellular to periplasm)	tmao[e] <==> tmao[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
TMAtex	Trimethylamine transport via diffusion (extracellular to periplasm)	tma[e] <==> tma[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
TRPtex	L-tryptophan transport via diffusion (extracellular to periplasm)	trp-L[e] <==> trp-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
TSULtex	thiosulfate transport via diffusion (extracellular to periplasm)	tsul[e] <==> tsul[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
TUNGStex	tungstate transport via diffusion (extracellular to periplasm)	tungs[e] <==> tungs[p]	( b0929  or  b2215  or  b1377  or  b0241 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
TYMtex	tyramine transport via diffusion (extracellular to periplasm)	tym[e] <==> tym[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
TYRPtex	phopho-L-tyrosine transport via diffusion (extracellular to periplasm)	tyrp[e] <==> tyrp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
TYRtex	L-tyrosine transport via diffusion (extracellular to periplasm)	tyr-L[e] <==> tyr-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
UACGAMtex	UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm)	uacgam[e] <==> uacgam[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
UDPACGALtex	UDP-N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm)	udpacgal[e] <==> udpacgal[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
UDPGALtex	UDPgalactose transport via diffusion (extracellular to periplasm)	udpgal[e] <==> udpgal[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
UDPGLCURtex	UDP-D-glucuronate transport via diffusion (extracellular to periplasm)	udpglcur[e] <==> udpglcur[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
UDPGtex	UDPglucose transport via diffusion (extracellular to periplasm)	udpg[e] <==> udpg[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
UMPtex	UMP transport via diffusion (extracellular to periplasm)	ump[e] <==> ump[p]	( b0929  or  b1377  or  b2215  or  b0241 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
URAtex	uracil transport via diffusion (extracellular to periplasm)	ura[e] <==> ura[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
UREAtex	Urea transport via diffusion (extracellular to periplasm)	urea[e] <==> urea[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
VALtex	L-valine transport via diffusion (extracellular to periplasm)	val-L[e] <==> val-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
XANtex	xanthine transport via diffusion (extracellular to periplasm)	xan[e] <==> xan[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
XMPtex	XMP transport via diffusion (extracellular to periplasm)	xmp[e] <==> xmp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
XTSNtex	xanthosine transport via diffusion (extracellular to periplasm)	xtsn[e] <==> xtsn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
Zn2tex	zinc (Zn+2) transport via diffusion (extracellular to periplasm)	zn2[e] <==> zn2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
