ID	Model	Organism	Taxonomy	Author	Year	Publication	HasFile	Valid?	Erro
139	iMLTC806cdf	Clostridium difficile 630	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Peptoclostridium; Peptoclostridium difficile	M. Larocque	2014	http://dx.doi.org/10.1186/s12918-014-0117-z	true	true	
140	iCY1106	Mortierella alpina	Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Early diverging fungal lineages; Mortierellomycotina; Mortierellales; Mortierellaceae; Mortierella	Chao Ye	2015	http://dx.doi.org/10.1186/s12918-014-0137-8	true	false	
138	iCac802	Clostridium acetobutylicum ATCC 824	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium acetobutylicum	Satyakam Dash	2014	http://dx.doi.org/10.1186/s13068-014-0144-4	true	true	
35	iOR363	Rhizobium etli CFN 42	 Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium	Resendis-Antonio	2007	http://dx.doi.org/10.1371/journal.pcbi.0030192	true	false	
4	iJP815	Pseudomonas putida str. KT2440	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	Puchalka	2008	http://dx.doi.org/10.1371/journal.pcbi.1000210	true	true	
59	iPS189	Mycoplasma genitalium G37	Bacteria; Tenericutes; Mollicutes; Mycoplasmatales; Mycoplasmataceae; Mycoplasma; Mycoplasma genitalium	Suthers	2009	http://dx.doi.org/10.1371/journal.pcbi.1000285	true	false	
113	iOG654	 Natronomonas pharaonis DSM 2160	Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Natronomonas; Natronomonas pharaonis	Gonzalez	2009	http://dx.doi.org/10.1371/journal.pcbi.1000799	true	false	
69	iSO783	Shewanella oneidensis MR-1	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella	Pinchuk	2010	http://dx.doi.org/10.1371/journal.pcbi.1000822	true	true	
19	iAI549	Dehalococcoides ethenogenes str. 2061	Bacteria; Chloroflexi; Dehalococcoidetes; Dehalococcoidales; Dehalococcoidaceae; Dehalococcoides	Islam	2010	http://dx.doi.org/10.1371/journal.pcbi.1000887	true	true	
13	iJP962	Pseudomonas putida str. KT2440	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	Oberhardt	2011	http://dx.doi.org/10.1371/journal.pcbi.1001116	true	true	
103	iCce806	Cyanothece sp. ATCC 51142	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece	Vu	2012	http://dx.doi.org/10.1371/journal.pcbi.1002460	true	false	
110	iAL1006	 Penicillium chrysogenum Wisconsin 54-1255	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Penicillium; Penicillium chrysogenum complex; Penicillium chrysogenum	Agren	2013	http://dx.doi.org/10.1371/journal.pcbi.1002980	true	false	
104	iHZ565	Sinorhizobium meliloti 1021	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Sinorhizobium/Ensifer group; Sinorhizobium; Sinorhizobium meliloti	Zhao	2012	http://dx.doi.org/10.1371/journal.pone.0031287	true	false	
106	iHZ565	Sinorhizobium meliloti 1021	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Sinorhizobium/Ensifer group; Sinorhizobium; Sinorhizobium meliloti	Zhao	2012	http://dx.doi.org/10.1371/journal.pone.0031287	true	false	
121	iAH991	Bacteroides thetaiotaomicron	Bacteria; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	Heinken	2012	http://dx.doi.org/10.4161/gmic.22370	false	false	
